Source,Target,Type
25490,31258,Directed
25525,35389,Directed
25525,28224,Directed
25525,30961,Directed
25561,33608,Directed
25622,32768,Directed
25624,26167,Directed
25633,23606,Directed
25633,35668,Directed
26442,25692,Directed
25737,29410,Directed
25744,25780,Directed
25744,28123,Directed
25752,24945,Directed
25752,33078,Directed
25834,26220,Directed
25843,25467,Directed
25843,28084,Directed
25888,30370,Directed
25888,25961,Directed
25957,22174,Directed
25986,35066,Directed
26051,20491,Directed
26093,29021,Directed
26108,22926,Directed
26108,28452,Directed
26108,28260,Directed
26151,31298,Directed
31298,25624,Directed
31298,33300,Directed
26203,28108,Directed
26204,20942,Directed
26204,23720,Directed
26204,28981,Directed
26204,30547,Directed
26216,24849,Directed
26216,32494,Directed
26216,35265,Directed
26239,35109,Directed
26239,30370,Directed
26264,23725,Directed
26264,31998,Directed
26264,35170,Directed
26264,31148,Directed
31148,28676,Directed
31148,35170,Directed
26265,24800,Directed
26265,31329,Directed
26265,32833,Directed
26302,23725,Directed
26302,31998,Directed
26302,30818,Directed
26302,35170,Directed
26316,22608,Directed
26328,42042,Directed
26331,25453,Directed
26357,22022,Directed
26357,25276,Directed
26357,25983,Directed
26357,27885,Directed
26370,5775,Directed
26372,21709,Directed
26372,25429,Directed
26372,32296,Directed
26497,28108,Directed
26527,27719,Directed
26550,32495,Directed
26550,34356,Directed
26550,27122,Directed
26563,28676,Directed
26565,29598,Directed
26657,33776,Directed
26665,35942,Directed
26665,31011,Directed
26750,20989,Directed
26750,30249,Directed
26750,27518,Directed
26750,27305,Directed
26763,30249,Directed
26785,29464,Directed
26857,23720,Directed
26857,26838,Directed
26866,31538,Directed
26869,22578,Directed
26869,33310,Directed
26890,12493,Directed
26907,6462,Directed
26933,23566,Directed
26933,25418,Directed
26933,36092,Directed
26933,35720,Directed
26969,4584,Directed
27005,31835,Directed
27005,30370,Directed
27005,30791,Directed
27025,27991,Directed
27092,33764,Directed
33764,27092,Directed
27136,27122,Directed
27136,27175,Directed
27136,34232,Directed
27167,24065,Directed
27191,30028,Directed
27191,27686,Directed
27192,25119,Directed
27266,30787,Directed
27289,23108,Directed
27289,26220,Directed
27300,24035,Directed
27326,420,Directed
27349,21058,Directed
27349,34683,Directed
27349,29607,Directed
34683,21058,Directed
34683,28960,Directed
34683,29038,Directed
34683,29607,Directed
29607,27740,Directed
27355,27713,Directed
27360,21709,Directed
27360,25429,Directed
27360,29457,Directed
27376,28916,Directed
28916,25887,Directed
28916,32495,Directed
27407,3493,Directed
27461,21652,Directed
27461,34874,Directed
27461,32296,Directed
27528,25300,Directed
27554,20432,Directed
27554,21428,Directed
27554,22144,Directed
27554,23589,Directed
27554,24024,Directed
27554,25371,Directed
27555,28108,Directed
27572,23149,Directed
27572,30139,Directed
30139,17650,Directed
27623,29568,Directed
27633,17650,Directed
27641,12190,Directed
27648,16295,Directed
27677,35152,Directed
27828,26507,Directed
27831,34963,Directed
34963,32319,Directed
27904,21350,Directed
27904,23060,Directed
27904,30955,Directed
27904,35265,Directed
30955,31298,Directed
30955,31156,Directed
27972,34356,Directed
27976,30249,Directed
28017,23149,Directed
28017,30139,Directed
28029,20442,Directed
28029,25371,Directed
28029,31835,Directed
28031,29548,Directed
29548,27740,Directed
29548,35109,Directed
29548,30370,Directed
28038,24065,Directed
28038,31156,Directed
28064,20335,Directed
28113,27253,Directed
28113,28918,Directed
28136,20354,Directed
28138,35436,Directed
28162,34432,Directed
28172,31835,Directed
28172,30370,Directed
28198,20974,Directed
28214,31719,Directed
28286,29093,Directed
28287,20942,Directed
28287,23589,Directed
28287,25501,Directed
28287,26220,Directed
28287,31018,Directed
28287,34917,Directed
31018,23818,Directed
31018,27122,Directed
28364,29760,Directed
28423,31018,Directed
28434,35942,Directed
28468,30249,Directed
28522,27201,Directed
28584,26331,Directed
28597,21402,Directed
28605,31543,Directed
28609,27471,Directed
28674,23720,Directed
28674,32560,Directed
28837,21709,Directed
28837,25429,Directed
28848,28918,Directed
28871,33408,Directed
28884,20989,Directed
28884,31485,Directed
28919,28699,Directed
28931,21119,Directed
28931,31719,Directed
29076,32639,Directed
29086,20813,Directed
29086,22448,Directed
29086,25742,Directed
29086,27194,Directed
29086,35825,Directed
29161,21345,Directed
29182,27005,Directed
29182,36042,Directed
29190,31917,Directed
29212,27122,Directed
29212,32495,Directed
29214,20500,Directed
29219,34232,Directed
29260,22650,Directed
29260,26709,Directed
29260,31429,Directed
29261,28981,Directed
29268,33022,Directed
33022,29268,Directed
29270,27887,Directed
29284,28307,Directed
29387,22885,Directed
29414,22022,Directed
29414,25276,Directed
29479,22026,Directed
29479,24661,Directed
29497,21350,Directed
29497,28491,Directed
29571,31632,Directed
29604,24581,Directed
29615,2121,Directed
29632,28307,Directed
29681,25703,Directed
29788,34986,Directed
29791,25694,Directed
29797,21119,Directed
29797,31719,Directed
29876,35942,Directed
29881,27740,Directed
29898,29708,Directed
29904,30392,Directed
29911,26570,Directed
29911,32526,Directed
29924,26558,Directed
29924,30614,Directed
29944,25834,Directed
29983,8300,Directed
30030,31632,Directed
30074,25624,Directed
30074,33078,Directed
30096,11800,Directed
30103,33344,Directed
30115,27028,Directed
30125,17650,Directed
30164,25276,Directed
30170,34919,Directed
30212,24924,Directed
30212,35276,Directed
30212,34959,Directed
30212,34232,Directed
34959,20587,Directed
34959,21428,Directed
34959,22144,Directed
34959,23589,Directed
34959,26220,Directed
34959,34232,Directed
34959,35276,Directed
30281,3493,Directed
30284,29249,Directed
30285,1951,Directed
30364,22578,Directed
30395,28960,Directed
30413,33756,Directed
33756,26076,Directed
30451,21569,Directed
30498,30250,Directed
30511,29708,Directed
30511,32319,Directed
30511,32560,Directed
30545,22867,Directed
30572,24088,Directed
30572,24199,Directed
30586,33161,Directed
30632,21335,Directed
30632,34963,Directed
30644,24945,Directed
30644,31011,Directed
30650,24558,Directed
30650,25453,Directed
30733,23548,Directed
30750,24119,Directed
30750,30130,Directed
30750,34677,Directed
34677,26167,Directed
30865,21657,Directed
30865,21756,Directed
30865,22897,Directed
30865,26720,Directed
30865,27518,Directed
30865,29755,Directed
30865,30249,Directed
30892,23898,Directed
30893,28597,Directed
30893,30547,Directed
30934,23662,Directed
30934,28108,Directed
30934,29254,Directed
30957,13940,Directed
30963,8300,Directed
30973,26720,Directed
30973,30249,Directed
30973,32452,Directed
30979,27885,Directed
30980,35630,Directed
35630,20903,Directed
30985,23725,Directed
30985,25147,Directed
30985,35170,Directed
30988,21589,Directed
31005,23818,Directed
31005,29346,Directed
31005,35932,Directed
31005,32296,Directed
35932,26888,Directed
31012,33605,Directed
31037,30250,Directed
31053,31425,Directed
31078,32495,Directed
31139,27175,Directed
31139,36042,Directed
31143,22739,Directed
31157,23662,Directed
31157,28108,Directed
31157,31011,Directed
31157,32494,Directed
31157,31918,Directed
31162,28307,Directed
31185,28225,Directed
31198,28108,Directed
31198,29254,Directed
31199,35452,Directed
31204,29479,Directed
31204,34404,Directed
31227,30250,Directed
31241,3493,Directed
31242,23963,Directed
31252,3493,Directed
31256,21111,Directed
31256,23265,Directed
31261,32493,Directed
31261,32539,Directed
32539,33300,Directed
31279,28960,Directed
31286,26570,Directed
31289,31901,Directed
31293,28576,Directed
31293,32495,Directed
31342,28981,Directed
31352,34756,Directed
31393,22624,Directed
31393,24880,Directed
31393,29755,Directed
31393,31018,Directed
31416,21303,Directed
31509,28307,Directed
31542,27677,Directed
31542,28960,Directed
31542,29881,Directed
31542,32833,Directed
31566,23604,Directed
31566,25453,Directed
31566,25887,Directed
31566,35276,Directed
31566,33136,Directed
31583,22083,Directed
31600,21133,Directed
31609,32742,Directed
32742,31609,Directed
31677,24976,Directed
31677,35563,Directed
31679,24880,Directed
31679,34202,Directed
31751,23464,Directed
35094,22650,Directed
35094,29260,Directed
35094,31858,Directed
35094,32914,Directed
35094,34860,Directed
35094,36075,Directed
31866,2795,Directed
31954,35224,Directed
31997,26457,Directed
32075,25501,Directed
32075,33533,Directed
32085,21303,Directed
32085,28697,Directed
32085,31416,Directed
32085,35630,Directed
32100,23997,Directed
32114,20759,Directed
32114,34153,Directed
32126,29980,Directed
32130,33853,Directed
32152,17060,Directed
32188,31471,Directed
32208,22624,Directed
32227,29980,Directed
32250,35339,Directed
32264,17650,Directed
32410,25501,Directed
32410,32452,Directed
32410,35527,Directed
32428,26220,Directed
32428,35170,Directed
32428,35527,Directed
32435,33450,Directed
32502,29562,Directed
32502,32448,Directed
32502,33795,Directed
32530,29712,Directed
32536,32569,Directed
32562,35527,Directed
32672,12058,Directed
32717,35716,Directed
35716,32717,Directed
35716,35452,Directed
32733,26709,Directed
32756,21072,Directed
32767,24308,Directed
32771,21119,Directed
32859,28674,Directed
32917,22248,Directed
32928,30766,Directed
32928,35861,Directed
35861,21953,Directed
35861,33533,Directed
35861,35527,Directed
32930,23548,Directed
32930,23720,Directed
32930,24438,Directed
32930,32560,Directed
32930,33824,Directed
32946,32614,Directed
32952,30370,Directed
32952,31433,Directed
32976,29099,Directed
32978,27122,Directed
32978,27972,Directed
32978,32495,Directed
32978,34356,Directed
33006,26699,Directed
33006,28530,Directed
33009,25624,Directed
33009,31298,Directed
33033,26368,Directed
33033,31512,Directed
33033,9029,Directed
33044,27885,Directed
33059,14969,Directed
33066,28576,Directed
33127,21918,Directed
33127,24614,Directed
33134,14722,Directed
33134,4268,Directed
33139,24614,Directed
33155,33766,Directed
33171,35354,Directed
35354,33171,Directed
33210,6743,Directed
33216,35959,Directed
35959,23662,Directed
33224,24141,Directed
33224,25624,Directed
33224,1462,Directed
33290,8300,Directed
33328,22888,Directed
33328,23151,Directed
33328,28423,Directed
33328,28960,Directed
33363,22446,Directed
33363,23905,Directed
33363,26583,Directed
33363,28981,Directed
33363,31416,Directed
33396,20632,Directed
33431,3493,Directed
33523,31011,Directed
33555,17659,Directed
33559,31286,Directed
33585,23775,Directed
33611,31901,Directed
33625,31769,Directed
33627,9304,Directed
33645,25429,Directed
33738,28981,Directed
33751,22515,Directed
33751,33954,Directed
33759,14708,Directed
33759,35637,Directed
35637,33759,Directed
33828,31148,Directed
33828,32417,Directed
33841,3678,Directed
33847,31828,Directed
33859,20442,Directed
33873,22153,Directed
33903,32614,Directed
33931,25371,Directed
33958,22083,Directed
33971,34994,Directed
33980,25798,Directed
33981,21402,Directed
33981,31156,Directed
33981,33824,Directed
33996,30323,Directed
33996,34153,Directed
34032,31901,Directed
34037,349,Directed
34039,27184,Directed
34039,28625,Directed
34044,9591,Directed
34058,26167,Directed
34061,27165,Directed
34063,32319,Directed
34111,21569,Directed
34114,30249,Directed
34114,32570,Directed
34127,2159,Directed
34130,1861,Directed
34190,20392,Directed
34190,33879,Directed
34196,25911,Directed
34196,33171,Directed
34196,35354,Directed
34214,17650,Directed
34341,29994,Directed
34379,24613,Directed
34484,21428,Directed
34484,24024,Directed
34484,25871,Directed
34484,30791,Directed
34532,35339,Directed
34580,29121,Directed
34607,23221,Directed
34617,34437,Directed
34624,25936,Directed
34632,28120,Directed
34657,30250,Directed
34657,30757,Directed
34658,26076,Directed
34700,25119,Directed
34731,20767,Directed
34773,30590,Directed
34779,26050,Directed
34781,21523,Directed
34781,23662,Directed
34825,17650,Directed
34832,3493,Directed
34848,25692,Directed
34860,21350,Directed
34891,31094,Directed
35027,5211,Directed
35091,22608,Directed
35141,21058,Directed
35141,24800,Directed
35141,28953,Directed
35141,35109,Directed
35173,26720,Directed
35173,32296,Directed
35213,15215,Directed
35245,135,Directed
35260,26476,Directed
35342,8300,Directed
35353,23597,Directed
35360,29708,Directed
35393,1890,Directed
35422,30547,Directed
35438,32495,Directed
35438,34356,Directed
35464,12722,Directed
35464,32716,Directed
35467,31148,Directed
35467,31342,Directed
35467,32560,Directed
35469,32410,Directed
35490,28423,Directed
35490,34917,Directed
35511,27175,Directed
35511,28848,Directed
35552,22578,Directed
35552,30965,Directed
35552,33310,Directed
35616,25008,Directed
35616,26550,Directed
35616,35527,Directed
35619,8300,Directed
35719,21350,Directed
35719,26316,Directed
35719,26763,Directed
35719,28918,Directed
35719,32075,Directed
35719,32452,Directed
35719,32560,Directed
35727,7696,Directed
35733,22026,Directed
35746,30791,Directed
35746,35109,Directed
35855,22144,Directed
35855,34232,Directed
35872,16269,Directed
35974,13519,Directed
36002,24039,Directed
36002,35422,Directed
36084,34404,Directed
36106,22587,Directed
36106,23725,Directed
36106,30370,Directed
36106,31433,Directed
36106,31998,Directed
36106,35170,Directed
36120,1511,Directed
36122,22682,Directed
36152,17694,Directed
36152,8059,Directed
36152,41544,Directed
41544,13724,Directed
41544,8059,Directed
36177,17650,Directed
36205,7771,Directed
36242,27626,Directed
36242,28028,Directed
36266,25921,Directed
36269,21811,Directed
36269,34437,Directed
36295,27115,Directed
36295,8300,Directed
36300,28595,Directed
36300,5924,Directed
36304,21574,Directed
36304,25278,Directed
36304,25807,Directed
36314,30929,Directed
36317,13235,Directed
36322,17650,Directed
36351,21743,Directed
36351,23635,Directed
36351,5199,Directed
36352,33131,Directed
36353,22302,Directed
36353,24940,Directed
36359,40490,Directed
36363,28008,Directed
36367,2121,Directed
36377,35521,Directed
36492,27887,Directed
36492,29270,Directed
36507,35521,Directed
36510,1158,Directed
36520,38086,Directed
36522,16805,Directed
36530,7304,Directed
36531,35682,Directed
36537,15011,Directed
36540,15183,Directed
36546,8847,Directed
36598,37777,Directed
37777,36598,Directed
36606,27035,Directed
36606,2121,Directed
36617,5118,Directed
36629,13427,Directed
36633,12907,Directed
36637,32470,Directed
36640,34424,Directed
36641,28286,Directed
36644,7789,Directed
36659,7213,Directed
36674,28896,Directed
36678,11009,Directed
36678,29989,Directed
36678,39530,Directed
36685,34685,Directed
36691,13559,Directed
36693,28942,Directed
36704,39443,Directed
36704,37158,Directed
39443,36704,Directed
39443,37158,Directed
37158,2651,Directed
37158,39443,Directed
36711,11193,Directed
36711,21889,Directed
36711,30382,Directed
36718,25461,Directed
36718,8300,Directed
36725,27068,Directed
36725,35224,Directed
36734,21277,Directed
36736,21073,Directed
36736,33383,Directed
36739,5118,Directed
36746,28753,Directed
36753,8420,Directed
36758,36758,Directed
36783,7049,Directed
36795,34869,Directed
36812,3560,Directed
36828,25208,Directed
36828,30040,Directed
36828,31014,Directed
36849,4475,Directed
36869,43285,Directed
36878,8666,Directed
36878,42127,Directed
42127,23182,Directed
42127,8666,Directed
36881,25185,Directed
36884,3494,Directed
36888,46796,Directed
46796,25278,Directed
46796,25807,Directed
36903,12481,Directed
36922,29679,Directed
36944,29991,Directed
36945,31019,Directed
36958,20749,Directed
36962,20546,Directed
36971,36971,Directed
36974,23051,Directed
36974,30061,Directed
36997,21,Directed
36997,2115,Directed
37000,22809,Directed
37002,30598,Directed
37007,34463,Directed
37008,3563,Directed
37013,28778,Directed
37014,15102,Directed
37014,47964,Directed
47964,15102,Directed
37022,24418,Directed
37027,8440,Directed
37030,31734,Directed
37043,23425,Directed
37043,26073,Directed
37045,29387,Directed
37052,35604,Directed
37081,37081,Directed
37090,31704,Directed
37095,14708,Directed
37095,9343,Directed
37098,30487,Directed
37104,11009,Directed
37104,21643,Directed
37111,3213,Directed
37114,29492,Directed
37114,31715,Directed
37120,38049,Directed
37123,14307,Directed
37128,38930,Directed
37154,30838,Directed
37154,9321,Directed
37157,11497,Directed
37159,16295,Directed
37159,9047,Directed
37160,24729,Directed
37160,34788,Directed
37162,22814,Directed
37175,4645,Directed
37180,22093,Directed
37241,49645,Directed
37246,15117,Directed
37246,20310,Directed
37246,22466,Directed
37246,25971,Directed
37246,26206,Directed
37246,34737,Directed
37254,30339,Directed
37260,37474,Directed
37260,46317,Directed
37272,22455,Directed
37272,29261,Directed
37272,31187,Directed
37272,34404,Directed
37280,23814,Directed
37280,34187,Directed
37280,34386,Directed
37291,22357,Directed
37291,23927,Directed
37291,32296,Directed
37293,30064,Directed
37299,8325,Directed
37316,7603,Directed
37319,39844,Directed
37326,35068,Directed
37327,35939,Directed
37359,13629,Directed
37359,22089,Directed
37359,37095,Directed
37361,13519,Directed
37367,21073,Directed
37367,3560,Directed
37367,33950,Directed
37370,5518,Directed
37374,12584,Directed
37388,25742,Directed
37391,25641,Directed
37396,33111,Directed
37404,35573,Directed
37431,15964,Directed
37432,32621,Directed
37450,20485,Directed
37450,6603,Directed
37453,24414,Directed
37455,25499,Directed
37455,32159,Directed
37455,35163,Directed
37456,30508,Directed
37469,32169,Directed
37479,21920,Directed
37499,43703,Directed
37499,37968,Directed
37512,7623,Directed
37521,25134,Directed
37524,46446,Directed
37527,12970,Directed
37530,20371,Directed
37531,1977,Directed
37546,20976,Directed
37565,33290,Directed
37569,1887,Directed
37576,43748,Directed
37611,45511,Directed
37652,24402,Directed
37667,17604,Directed
37669,46358,Directed
46358,12704,Directed
37686,280,Directed
37694,37164,Directed
37694,43154,Directed
37694,41756,Directed
37694,40398,Directed
37694,38884,Directed
37694,40649,Directed
40398,28335,Directed
37696,3678,Directed
37697,41065,Directed
37701,45393,Directed
37702,12058,Directed
37716,25238,Directed
37716,25750,Directed
37716,107,Directed
37722,8405,Directed
37722,35573,Directed
37750,23127,Directed
37754,37254,Directed
37755,7213,Directed
37759,27068,Directed
37759,30382,Directed
37779,2598,Directed
37782,22203,Directed
37784,14249,Directed
37784,34201,Directed
37785,25455,Directed
37785,37072,Directed
37798,13022,Directed
37833,10396,Directed
37833,23142,Directed
37861,6556,Directed
37895,26061,Directed
37937,37538,Directed
37969,25278,Directed
37970,2211,Directed
37973,43230,Directed
37981,20371,Directed
37987,31373,Directed
37987,33462,Directed
38006,34728,Directed
38017,9342,Directed
38042,30184,Directed
38046,15243,Directed
38046,32982,Directed
38053,17867,Directed
38055,21545,Directed
38057,25951,Directed
38057,4137,Directed
38059,22972,Directed
38059,30250,Directed
38075,8442,Directed
38085,27740,Directed
38089,9050,Directed
38092,15476,Directed
38093,28897,Directed
38094,16197,Directed
38094,504,Directed
38095,24704,Directed
38096,28530,Directed
38117,25248,Directed
38122,28628,Directed
38130,49558,Directed
38149,35968,Directed
38168,43274,Directed
38177,2121,Directed
38181,46361,Directed
46361,38181,Directed
38182,31714,Directed
38188,24803,Directed
38223,32458,Directed
38223,39601,Directed
38226,5503,Directed
38226,39794,Directed
39794,38226,Directed
38227,10188,Directed
38235,21844,Directed
38246,37364,Directed
38246,46270,Directed
38246,41345,Directed
38254,16757,Directed
38254,2971,Directed
38265,22919,Directed
38266,17310,Directed
38285,15460,Directed
38291,46592,Directed
46592,15460,Directed
46592,5392,Directed
38301,10126,Directed
38315,23259,Directed
38315,25359,Directed
38315,35521,Directed
38332,7603,Directed
38344,39882,Directed
38354,25053,Directed
38360,6801,Directed
38369,17202,Directed
38369,2936,Directed
38375,34249,Directed
38382,27079,Directed
38390,35044,Directed
38400,35331,Directed
38409,20703,Directed
38425,35540,Directed
38428,28454,Directed
38435,11920,Directed
38441,14420,Directed
38452,38452,Directed
38456,12907,Directed
38472,10768,Directed
38473,14108,Directed
38473,25063,Directed
38473,26722,Directed
38488,14969,Directed
38488,15460,Directed
38532,38718,Directed
38553,6037,Directed
38562,22677,Directed
38570,16654,Directed
38571,28298,Directed
38574,24383,Directed
38574,29646,Directed
38590,8300,Directed
38603,15060,Directed
38604,13101,Directed
38604,47304,Directed
47304,6556,Directed
47304,9294,Directed
38608,8381,Directed
38631,20813,Directed
38631,34508,Directed
38633,35402,Directed
38633,36129,Directed
38633,39076,Directed
38648,26665,Directed
38648,28981,Directed
38648,32539,Directed
38648,34198,Directed
38649,41049,Directed
38650,29241,Directed
38652,33281,Directed
38660,31199,Directed
38660,35452,Directed
38661,30372,Directed
38664,22724,Directed
38679,23081,Directed
38684,26718,Directed
38688,31178,Directed
38701,22866,Directed
38701,23045,Directed
38702,44027,Directed
44027,5362,Directed
38724,17480,Directed
38730,28407,Directed
38759,23005,Directed
38764,7603,Directed
38766,9117,Directed
38767,24127,Directed
38776,21683,Directed
38795,48319,Directed
38795,40454,Directed
38824,26718,Directed
38827,40847,Directed
38832,13519,Directed
38836,7761,Directed
38836,39148,Directed
39148,7761,Directed
38848,25709,Directed
38869,26295,Directed
38886,43594,Directed
38902,29677,Directed
38905,21124,Directed
38905,26221,Directed
38924,35820,Directed
38929,38929,Directed
38932,20368,Directed
38936,36947,Directed
38936,38687,Directed
38936,41194,Directed
41194,7854,Directed
38962,5518,Directed
38978,12445,Directed
38978,20224,Directed
38978,21144,Directed
38978,26436,Directed
38978,29787,Directed
38978,7683,Directed
38988,3294,Directed
39007,31707,Directed
39007,34705,Directed
39010,48798,Directed
39011,39011,Directed
39012,43687,Directed
43687,1989,Directed
39039,14075,Directed
39046,34875,Directed
39058,17810,Directed
39066,15060,Directed
39068,4151,Directed
39072,11327,Directed
39082,38734,Directed
39096,27504,Directed
39098,33683,Directed
39116,32950,Directed
39117,25143,Directed
39121,15102,Directed
39124,35968,Directed
39125,12058,Directed
39127,25875,Directed
39139,7436,Directed
39143,23182,Directed
39157,22227,Directed
39162,17253,Directed
39162,23350,Directed
39169,878,Directed
39169,2676,Directed
39187,8444,Directed
39189,1887,Directed
39214,31022,Directed
39219,43249,Directed
39221,21486,Directed
39221,7114,Directed
39235,23653,Directed
39248,40868,Directed
40868,39248,Directed
39265,20723,Directed
39268,31575,Directed
39273,33812,Directed
39287,17280,Directed
39309,15604,Directed
39309,30633,Directed
39315,20687,Directed
39368,8847,Directed
39369,35062,Directed
39402,26651,Directed
39409,35780,Directed
39417,26881,Directed
39417,47823,Directed
39427,23984,Directed
39436,5480,Directed
39445,22145,Directed
39451,24723,Directed
39461,12405,Directed
39469,21472,Directed
39470,1163,Directed
39471,40768,Directed
39473,37968,Directed
39499,12907,Directed
39505,39505,Directed
39511,20561,Directed
39512,7603,Directed
39513,42837,Directed
39521,22367,Directed
39535,9944,Directed
39535,15291,Directed
39535,6715,Directed
39542,4369,Directed
39551,28169,Directed
39568,3571,Directed
39586,39586,Directed
39590,17253,Directed
39596,48817,Directed
48817,39596,Directed
39598,29251,Directed
39605,20371,Directed
39605,26112,Directed
39617,10237,Directed
39629,29801,Directed
39639,22082,Directed
39654,4665,Directed
39689,34453,Directed
39698,2121,Directed
39699,15773,Directed
39713,28222,Directed
39717,20976,Directed
39725,46646,Directed
46646,39725,Directed
39731,2336,Directed
39735,43256,Directed
39738,4268,Directed
39738,9379,Directed
39747,5345,Directed
39761,47304,Directed
39761,47932,Directed
39764,7032,Directed
39767,8444,Directed
39789,15291,Directed
39811,20950,Directed
39811,23437,Directed
39813,20453,Directed
39813,34066,Directed
39820,47718,Directed
39861,33902,Directed
39887,26680,Directed
39888,39888,Directed
39899,30226,Directed
39937,22093,Directed
39943,10705,Directed
39964,23182,Directed
39984,3154,Directed
39988,23529,Directed
39991,8300,Directed
40013,22897,Directed
40013,28697,Directed
40013,30766,Directed
40026,11920,Directed
40033,31395,Directed
40073,6783,Directed
40092,16273,Directed
40092,25719,Directed
